College Name,Location,College Type,Facilities,Rating
"Guru Nanak Institute of Technology, Hoshiarpur","Hariana, Punjab",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Alumni Associations, Wifi, Laboratories, Auditorium, Medical/Hospital, Gym, Guest Room/Waiting Room",N/A
"Guru Nanak Institute of Technology, Ibrahimpatnam","Ibrahimpatnam, Telangana",Private,"Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Laboratories, Guest Room/Waiting Room, Boys Hostel, Girls Hostel, Wifi, Banks/ATMs",4.2/5
"GNIT Kolkata - Guru Nanak Institute of Technology, Kolkata","Kolkata, West Bengal",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Wifi, Laboratories, Convenience Store, Banks/ATMs, Guest Room/Waiting Room",4.5/5
"Guru Nanak Institute of Technology, Nagpur","Dahegaon, Maharashtra",Private,"Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Laboratories, Alumni Associations, Training and Placement Cell",1.5/5
"GNITC Hyderabad - Guru Nanak Institutions Technical Campus, Ibrahimpatnam","Hyderabad, Telangana",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Wifi, Laboratories",4.1/5
"Guru Nanak Polytechnic, Jalandhar","Kathar, Punjab",Private,"Library, Sports, Laboratories, I.T Infrastructure, Gym, Swimming Pool",N/A
"Guru Nanak University, Hyderabad","Hyderabad, Telangana",Private,"Boys Hostel, Girls Hostel, Library, Laboratories, Auditorium, Cafeteria, Medical/Hospital, I.T Infrastructure, Gym, Sports, Transport Facility, Mess, Extra Curricular Activities, Training and Placement Cell",N/A
"Guru Premsukh Memorial College of Engineering, Delhi","New Delhi, Delhi",Private,N/A,2.2/5
"Guru Raagavindra Polytechnic College, Vellore","Vellore, Tamil Nadu",Private,"Sports, Auditorium, Library, Laboratories, Medical/Hospital, Gym, I.T Infrastructure, Cafeteria, Guest Room/Waiting Room, Wifi, Transport Facility, Classrooms, Training and Placement Cell, Smart Classrooms",3.8/5
"Guru Ramdas Khalsa Institute of Science and Technology, Jabalpur","Kukuri Kheda, Madhya Pradesh",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Laboratories, Guest Room/Waiting Room, Training and Placement Cell",2.9/5
"Guru Ram Dass Institute of Engineering and Technology, Bathinda","Lehra Mohabbat, Punjab",Private,"Boys Hostel, Girls Hostel, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Laboratories, Guest Room/Waiting Room, Medical/Hospital, Parking Facility",3.0/5
"Guru Ram Dass Polytechnic College, Bathinda","Jeeda, Punjab",Private,"Library, I.T Infrastructure",N/A
"Guru Sai Polytechnic, Chandrapur","Datala, Maharashtra",Private,"Boys Hostel, Library, Laboratories, I.T Infrastructure, Cafeteria, Transport Facility",N/A
"Guru Teg Bahadur Khalsa Institute of Engineering and Technology, Malout","Malout, Punjab",Private,"Boys Hostel, Girls Hostel, Library, I.T Infrastructure, Laboratories, Cafeteria, Medical/Hospital, Gym, Sports, Guest Room/Waiting Room, Convenience Store, Transport Facility, Auditorium",N/A
"Guru Teg Bahadur Khalsa Polytechnic College, Malout","Malout, Punjab",Private,"Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Alumni Associations, Laboratories, Banks/ATMs, Auditorium, Medical/Hospital, Gym, Guest Room/Waiting Room",N/A
"Guru Tegh Bahadur Institute of Technology, Delhi","New Delhi, Delhi",Private,"Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Laboratories, Alumni Associations",3.7/5
"GTBIT New Delhi - Guru Tegh Bahadur Institute of Technology, New Delhi","New Delhi, Delhi",Private,"Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Wifi, Laboratories",4.4/5
"Guru Tegh Bahadur 4th Centenary Engineering College, New Delhi","New Delhi, Delhi",Private,"Medical/Hospital, Library, I.T Infrastructure, Cafeteria, Laboratories, Sports, Auditorium, Parking Facility, Training and Placement Cell, Extra Curricular Activities",2.0/5
"Guwahati College of Architecture, Guwahati","Guwahati, Assam",Private,"Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Alumni Associations, Wifi, Classrooms, Laboratories, Girls Hostel, Boys Hostel, Medical/Hospital, Training and Placement Cell, Workshops, Classrooms",1.8/5
"GV Acharya Institute of Engineering and Technology, Raigad","Shelu, Maharashtra",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Auditorium, Transport Facility, Laboratories, Guest Room/Waiting Room, Gym, Medical/Hospital, Wifi, Cafeteria, Alumni Associations, Training and Placement Cell",3.3/5
"GV Acharya Polytechnic, Karjat","Karjat, Maharashtra",Private,"Boys Hostel, Girls Hostel, Wifi, Library, Laboratories, Auditorium, Cafeteria, Medical/Hospital, I.T Infrastructure, Gym, Sports, Transport Facility, Parking Facility",N/A
"GVN College Kovilpatti - G Venkataswamy Naidu College, Kovilpatti","Thoothukudi, Tamil Nadu",Private,"Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Alumni Associations, Wifi, Laboratories",3.8/5
"GVN Polytechnic College, Palwal","Palwal, Haryana",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Alumni Associations, Wifi, Laboratories, Guest Room/Waiting Room, Convenience Store, Parking Facility, Medical/Hospital, Banks/ATMs, Training and Placement Cell, Classrooms",N/A
"GVR&S Guntur - GVR and S College of Engineering and Technology, Guntur","Guntur, Andhra Pradesh",Private,"Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Wifi, Laboratories",N/A
"GVVR Institute of Technology, Bhimavaram","Bhimavaram, Andhra Pradesh",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, Cafeteria, Auditorium, Laboratories, Transport Facility, I.T Infrastructure",N/A
"GEC Gwalior - Gwalior Engineering College, Gwalior","Gwalior, Madhya Pradesh",Private,"Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Guest Room/Waiting Room, Gym, Medical/Hospital, Laboratories",2.0/5
"GIIT Gwalior - Gwalior Institute of Information Technology, Gwalior","Gwalior, Madhya Pradesh",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Laboratories, Cafeteria, Gym, Auditorium, Guest Room/Waiting Room, Wifi, Training and Placement Cell",1.0/5
"Gwalior Institute of Technology and Science, Gwalior","Gwalior, Madhya Pradesh",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Wifi, Laboratories, Guest Room/Waiting Room",2.8/5
"GBIT Meerut - Gyan Bharti Institute of Technology, Meerut","Meerut, Uttar Pradesh",Private,"Boys Hostel, Girls Hostel, Library, Sports, Auditorium, Cafeteria, Guest Room/Waiting Room, Gym, Medical/Hospital, I.T Infrastructure, Laboratories, Convenience Store, Parking Facility, Transport Facility",N/A
"Gyan Ganga College of Technology, Jabalpur","Jabalpur, Madhya Pradesh",Private,"Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Laboratories, Guest Room/Waiting Room, Medical/Hospital, Gym, Girls Hostel, Boys Hostel, Training and Placement Cell",4.6/5
"Gyan Ganga Institute of Technology and Management, Bhopal","Bhopal, Madhya Pradesh",Private,"Library, I.T Infrastructure, Sports, Auditorium, Cafeteria, Guest Room/Waiting Room, Gym, Medical/Hospital, Laboratories",3.0/5
"GGITS Jabalpur - Gyan Ganga Institute of Technology and Sciences, Jabalpur","Jabalpur, Madhya Pradesh",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Auditorium, Alumni Associations, Laboratories",4.2/5
"Gyan Ganga Polytechnic, Kurukshetra","Chhapri, Haryana",Private,"Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Wifi, Laboratories, Parking Facility, Guest Room/Waiting Room, Auditorium, Medical/Hospital, Gym, Boys Hostel, Classrooms",N/A
"Gyanmanjari Diploma Engineering College, Bhavnagar","Bhavnagar, Gujarat",Private,"Library, I.T Infrastructure, Laboratories, Cafeteria, Transport Facility, Auditorium, Sports, Medical/Hospital",N/A
"Gyanmanjari Innovative University, Bhavnagar","Bhavnagar, Gujarat",Private,"Library, Laboratories, I.T Infrastructure, Sports, Cafeteria, Medical/Hospital, Wifi, Transport Facility, Club, Extra Curricular Activities, Training and Placement Cell, Alumni Associations, Workshops",N/A
"GMIT Bhavnagar - Gyanmanjari Institute of Technology, Bhavnagar","Bhavnagar, Gujarat",Private,"Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Guest Room/Waiting Room, Transport Facility, Wifi, Laboratories, Classrooms, Gym, Auditorium, Training and Placement Cell",5.0/5
"Gyanodaya The College of Excellence Polytechnic, Neemuch","Neemuch, Madhya Pradesh",Private,"Sports, Auditorium, Library, Laboratories, I.T Infrastructure, Cafeteria, Medical/Hospital, Wifi, Transport Facility",N/A
"GSCE Sagar - Gyan Sagar College of Engineering, Sagar","Sironj, Madhya Pradesh",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Wifi, Gym, Laboratories, Guest Room/Waiting Room, Auditorium, Training and Placement Cell",N/A
"Gyan Sagar Polytechnic College, Moga","Bagha Purana, Punjab",Private,"Library, Sports, I.T Infrastructure, Transport Facility, Laboratories",N/A
"Gyan Vihar School of Engineering and Technology, Jaipur","Jaipur, Rajasthan",Private,"Boys Hostel, Girls Hostel, Library, Sports, Laboratories, Cafeteria, Auditorium, Medical/Hospital, Gym, Alumni Associations, Banks/ATMs, Transport Facility, Wifi",3.4/5
"Haindavi Degree and PG College, Barkatpura","Hyderabad, Telangana",Private,"Library, I.T Infrastructure, Laboratories, Sports, Auditorium, Cafeteria, Medical/Hospital",N/A
"Haindavi Degree and PG College, Dilsukhnagar","Hyderabad, Telangana",Private,"Laboratories, Library, Sports, Auditorium, I.T Infrastructure, Cafeteria",N/A
"Hajee Karutha Rowther Howdia College, Uthamapalayam","Theni, Tamil Nadu",Private,"Girls Hostel, Library, Sports, I.T Infrastructure, Gym, Laboratories, Alumni Associations, Medical/Hospital, Parking Facility, Auditorium, Transport Facility, Cafeteria, Wifi, Guest Room/Waiting Room, Convenience Store, Physical Challenged Student",N/A
"Haji Md Serafat Mondal Government Polytechnic, Birbhum","Birbhum, West Bengal",Public/Govt,"Laboratories, Library, I.T Infrastructure, Sports, Medical/Hospital, Cafeteria, Auditorium, Guest Room/Waiting Room, Parking Facility, Wifi, Workshops, Extra Curricular Activities, Training and Placement Cell",N/A
"Haji Mohammad Khasim Saheb and Mohammad Galab Saheb College of Engineering, Guntur","Guntur, Andhra Pradesh",Private,"Library, I.T Infrastructure, Cafeteria, Laboratories, Guest Room/Waiting Room, Sports",N/A
"Haldia Institute of Technology (HIT) Haldia - Haldia Institute of Technology, Haldia","Haldia, West Bengal",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Alumni Associations, Wifi, Laboratories",4.1/5
"HAL Pravara Aviation Institute, Nashik","Nashik, Maharashtra",Private,"Classrooms, Sports, I.T Infrastructure, Laboratories, Auditorium, Library, Medical/Hospital, Gym, Cafeteria, Guest Room/Waiting Room, Boys Hostel, Girls Hostel",N/A
"Hanagal Sri Kumareshwara Polytechnic, Bellary","Ballari, Karnataka",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Alumni Associations, Laboratories, Banks/ATMs, Auditorium, Guest Room/Waiting Room, Parking Facility, Extra Curricular Activities",5.0/5
"Handia Polytechnic College, Handia","Handia, Uttar Pradesh",Public/Govt,"Library, Sports, I.T Infrastructure, Laboratories, Boys Hostel, Girls Hostel, Cafeteria, Auditorium, Guest Room/Waiting Room, Gym, Medical/Hospital",N/A
"HCET Sidhpur - Hansaba College of Engineering and Technology, Sidhpur","Siddhpur, Gujarat",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Laboratories, Convenience Store, Guest Room/Waiting Room, Wifi, Parking Facility, Classrooms",2.5/5
"Hansraj College, Delhi","New Delhi, Delhi",Public/Govt,"Boys Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Alumni Associations, Wifi, Laboratories, Guest Room/Waiting Room",4.4/5
"Hanswahini Institute of Science and Technology, Allahabad","Baramar, Uttar Pradesh",Private,"Library, I.T Infrastructure, Auditorium, Laboratories, Medical/Hospital, Alumni Associations, Wifi, Classrooms, Workshops, Extra Curricular Activities, Training and Placement Cell, Smart Classrooms",N/A
"Hanuman Vyayam Prasarak Mandal's College of Engineering and Technology, Amravati","Amravati, Maharashtra",Private,"Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Swimming Pool, Laboratories, Guest Room/Waiting Room, Training and Placement Cell",3.6/5
"Haralaiah Polytechnic, Bhalki","Bidar, Karnataka",Private,"Library, I.T Infrastructure, Laboratories, Sports, Medical/Hospital, Guest Room/Waiting Room, Auditorium, Cafeteria",N/A
"Harashankar Bhattacharya Institute of Technology and Mining, Bardhaman","Burdwan, West Bengal",Private,"Boys Hostel, Girls Hostel, Library, Laboratories, Auditorium, Cafeteria, Medical/Hospital, I.T Infrastructure, Sports",N/A
"HBTU Kanpur - Harcourt Butler Technical University, Kanpur","Kanpur, Uttar Pradesh",Public/Govt,"Boys Hostel, Medical/Hospital, Gym, Library, Banks/ATMs, I.T Infrastructure, Cafeteria, Auditorium, Guest Room/Waiting Room, Convenience Store, Alumni Associations",4.0/5
"HTC Mathura - Hardayal Technical Campus, Mathura","Mathura, Uttar Pradesh",Private,"Boys Hostel, Girls Hostel, Gym, Library, Sports, I.T Infrastructure, Auditorium, Transport Facility, Alumni Associations, Laboratories, Cafeteria, Extra Curricular Activities, Club, Training and Placement Cell",N/A
"Haridwar University, Roorkee","Roorkee, Uttarakhand",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Wifi, Swimming Pool, Laboratories, Convenience Store, Banks/ATMs, Guest Room/Waiting Room, Club, Extra Curricular Activities, Training and Placement Cell",4.7/5
"Harshith Group of Institutions, Ranga Reddy","Rangareddy, Telangana",Private,"Library, Laboratories, I.T Infrastructure, Sports",N/A
"Haryana College of Technology and Management, Kaithal","Kaithal, Haryana",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Guest Room/Waiting Room, Laboratories, Gym, Medical/Hospital",3.1/5
"Haryana Engineering College, Jagadhri","Jagadhri, Haryana",Private,"Boys Hostel, Girls Hostel, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Wifi, Laboratories, Guest Room/Waiting Room, Parking Facility, Medical/Hospital, Extra Curricular Activities, Club, Workshops, Training and Placement Cell",3.2/5
"Haryana Institute of Engineering and Technology, Kaithal","Kaithal, Haryana",Private,"Boys Hostel, Girls Hostel, Library, I.T Infrastructure",3.9/5
"Haryana Institute of Technology, Bahadurgarh","Bahadurgarh, Haryana",Private,"Boys Hostel, Girls Hostel, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Laboratories, Guest Room/Waiting Room",2.0/5
"Hasmukh Goswami College of Engineering, Ahmedabad","Raipur, Gujarat",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Wifi, Laboratories, Banks/ATMs, Convenience Store, Training and Placement Cell",2.9/5
"Hassan University, Hassan","Hassan, Karnataka",Public/Govt,"Library, Laboratories, I.T Infrastructure, Sports",N/A
"Hastinapur Institute of Technology and Management, Mawana","Ganeshpur, Uttar Pradesh",Private,"Library, Sports, I.T Infrastructure, Cafeteria, Laboratories, Auditorium, Medical/Hospital, Gym, Guest Room/Waiting Room, Classrooms",N/A
"HIET Hyderabad - Hasvita Institute of Engineering and Technology, Hyderabad","Secunderabad, Telangana",Private,"Laboratories, Library, I.T Infrastructure",N/A
"Hasvita Institute of Management and Technology, Hyderabad","Secunderabad, Telangana",Private,"Library, Sports, I.T Infrastructure, Auditorium",3.0/5
"Hasvita Institute of Science and Technology, Hyderabad","Hyderabad, Telangana",Private,"Library, Laboratories, I.T Infrastructure",N/A
"Hayagriva Polytechnic College, Sooramangalam","Sooramangalam, Puducherry",Private,"Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Laboratories, Auditorium, Wifi, Medical/Hospital, Classrooms, Parking Facility",N/A
"HB Patel Institute of Diploma Engineering and Technology, Mahisagar","Mahisagar, Gujarat",Private,"Library, Laboratories, Auditorium, Cafeteria, Medical/Hospital, I.T Infrastructure, Gym, Sports, Guest Room/Waiting Room, Transport Facility",N/A
"Heera College of Engineering and Technology, Thiruvananthapuram","Thiruvananthapuram, Kerala",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Wifi, Laboratories, Banks/ATMs, Transport Facility, Smart Classrooms, Workshops, Extra Curricular Activities, Training and Placement Cell",N/A
"Heeralal Yadav Institute of Technology and Management, Lucknow","Lucknow, Uttar Pradesh",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Auditorium, Transport Facility, Laboratories, Cafeteria",N/A
"Helapuri Institute of Technology and Science, Eluru","Eluru, Andhra Pradesh",Private,"Library, I.T Infrastructure, Laboratories, Boys Hostel, Girls Hostel, Transport Facility, Sports, Cafeteria, Medical/Hospital, Wifi, Smart Classrooms, Training and Placement Cell",4.2/5
"HNGU Patan - Hemchandracharya North Gujarat University, Patan","Patan, Gujarat",Public/Govt,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Alumni Associations, Wifi, Laboratories, Banks/ATMs, Guest Room/Waiting Room",4.2/5
"HMCE Kalyani - Hemnalini Memorial College of Engineering, Kalyani","Haringhata, West Bengal",Private,"Library, Sports, I.T Infrastructure, Laboratories, Cafeteria, Guest Room/Waiting Room, Boys Hostel, Girls Hostel, Extra Curricular Activities, Training and Placement Cell",N/A
"HNBGU Garhwal - Hemvati Nandan Bahuguna Garhwal University, Pauri Garhwal","Pauri Garhwal, Uttarakhand",Public/Govt,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Auditorium, Alumni Associations, Wifi, Transport Facility, Guest Room/Waiting Room, Cafeteria, Laboratories, Gym",3.9/5
"HIT Kolkata - Heritage Institute of Technology, Kolkata","Kolkata, West Bengal",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Wifi, Laboratories, Convenience Store, Banks/ATMs",4.2/5
"Heritage Technical College, Agra","Agra, Uttar Pradesh",Private,"Library, Sports, Laboratories",N/A
"Hewett Polytechnic, Lucknow","Lucknow, Uttar Pradesh",Private,"Library, Sports, I.T Infrastructure, Cafeteria, Alumni Associations, Laboratories, Convenience Store, Boys Hostel, Girls Hostel, Medical/Hospital, Guest Room/Waiting Room, Parking Facility",4.0/5
"Hilakandi Polytechnic, Hailakandi","Hailakandi, Assam",Public/Govt,"Library, Laboratories, I.T Infrastructure, Sports, Training and Placement Cell, Classrooms",N/A
"Hilli Government Polytechnic, Balurghat","Jot Tior, West Bengal",Public/Govt,"Library, Sports, I.T Infrastructure, Laboratories, Cafeteria, Parking Facility, Workshops, Extra Curricular Activities, Training and Placement Cell",N/A
"Himachal Institute of Engineering and Technology, Shahpur","Kangra, Himachal Pradesh",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Wifi, Laboratories, Guest Room/Waiting Room, Training and Placement Cell",N/A
"Himachal Institute of Technology, Sirmour","Paonta Sahib, Himachal Pradesh",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Laboratories, Alumni Associations, Guest Room/Waiting Room, Gym, Auditorium, Training and Placement Cell",N/A
"HPTU Hamirpur - Himachal Pradesh Technical University, Hamirpur","Hamirpur, Himachal Pradesh",Public/Govt,"Library, Sports, I.T Infrastructure, Laboratories, Boys Hostel, Girls Hostel, Cafeteria, Transport Facility, Alumni Associations",4.1/5
"HPU Shimla - Himachal Pradesh University, Shimla","Shimla, Himachal Pradesh",Public/Govt,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Alumni Associations, Wifi",4.1/5
"Himalayan Institute of Engineering and Technology, Kala Amb","Kala Amb, Himachal Pradesh",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Wifi, Banks/ATMs, Guest Room/Waiting Room, Laboratories, Classrooms, Smart Classrooms, Training and Placement Cell, Extra Curricular Activities",N/A
"Himalayan Institute of Management and Technology, New Delhi","New Delhi, Delhi",Private,"Library, Sports, I.T Infrastructure, Cafeteria, Auditorium",N/A
"Himalayan Institute of Technology and Management, Lucknow","Lucknow, Uttar Pradesh",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Library, I.T Infrastructure, Transport Facility, Wifi, Laboratories",N/A
"Himalayan Polytechnic Institute, Lucknow","Lucknow, Uttar Pradesh",Private,"Library, Laboratories, I.T Infrastructure, Sports",N/A
"Himalayan Polytechnic, Sirmour","Sirmour, Himachal Pradesh",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Wifi, Laboratories, Banks/ATMs, Guest Room/Waiting Room, Alumni Associations",N/A
"Himalayan School of Science and Technology, Dehradun","Dehradun, Uttarakhand",Private,"Sports, Library, Laboratories, Gym, I.T Infrastructure, Guest Room/Waiting Room, Boys Hostel, Girls Hostel, Banks/ATMs, Transport Facility, Wifi, Auditorium, Cafeteria, Alumni Associations, Classrooms, Training and Placement Cell",N/A
"Himalayan University, Itanagar","Itanagar, Arunachal Pradesh",Private,"Library, Sports, I.T Infrastructure, Laboratories, Cafeteria, Guest Room/Waiting Room",3.8/5
"Himalayiya University, Dehradun","Dehradun, Uttarakhand",Private,"I.T Infrastructure, Auditorium, Cafeteria, Medical/Hospital, Library, Wifi, Boys Hostel, Girls Hostel, Laboratories, Guest Room/Waiting Room",4.0/5
"Himgiri Zee University, Dehradun","Sherpur, Uttarakhand",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Wifi, Swimming Pool, Auditorium, Laboratories, Guest Room/Waiting Room, Banks/ATMs",5.0/5
"Hindu College, Delhi","New Delhi, Delhi",Public/Govt,"Boys Hostel, Girls Hostel, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Alumni Associations, Wifi, Laboratories, Convenience Store, Banks/ATMs, Parking Facility, Medical/Hospital, Guest Room/Waiting Room",4.5/5
"Hindu College, Guntur","Guntur, Andhra Pradesh",Private,"Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Alumni Associations, Laboratories, Wifi, Swimming Pool, Parking Facility, Transport Facility, Classrooms, Training and Placement Cell",3.0/5
"Hindu College of Design, Architecture and Planning, Sonepat","Sonipat, Haryana",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Laboratories, Guest Room/Waiting Room, Medical/Hospital, Gym, Training and Placement Cell",N/A
"Hindu College of Engineering and Technology, Guntur","Guntur, Andhra Pradesh",Private,"Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Alumni Associations, Laboratories, Transport Facility, Convenience Store, Parking Facility",N/A
"HCE Sonepat - Hindu College of Engineering, Sonipat","Sonipat, Haryana",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Wifi, Laboratories, Convenience Store, Guest Room/Waiting Room, Training and Placement Cell",4.3/5
"Hindu Institute of Technology, Sonepat","Sonipat, Haryana",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Auditorium, Laboratories, Medical/Hospital, Cafeteria, Gym, Guest Room/Waiting Room, Training and Placement Cell, Extra Curricular Activities, Workshops",N/A
"Hindu Kanya College, Kapurthala","Kapurthala, Punjab",Private,"Girls Hostel, Wifi, Library, Laboratories, Auditorium, Cafeteria, Medical/Hospital, I.T Infrastructure, Gym, Sports, Guest Room/Waiting Room, Convenience Store, Transport Facility, Classrooms, Club, Workshops, Training and Placement Cell, Alumni Associations, Extra Curricular Activities",N/A
"Hindustan Aerospace and Engineering, Pune","Pune, Maharashtra",Private,"Library, Laboratories, Girls Hostel, Sports, I.T Infrastructure, Cafeteria",N/A
"HAA Bangalore - Hindustan Aviation Academy, Marathahalli","Bangalore, Karnataka",Private,"Boys Hostel, Girls Hostel, Library, Laboratories, Cafeteria, I.T Infrastructure, Alumni Associations, Sports",N/A
"Hindustan Business School, Marathahalli","Bangalore, Karnataka",Private,"Boys Hostel, Girls Hostel, Library, I.T Infrastructure, Cafeteria, Auditorium, Sports, Alumni Associations, Medical/Hospital, Gym, Guest Room/Waiting Room, Laboratories",N/A
"HCAS Chennai - Hindustan College of Arts and Science, Chennai","Kelambakkam, Tamil Nadu",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Alumni Associations, Wifi, Banks/ATMs, Laboratories, Guest Room/Waiting Room, Convenience Store, Club, Workshops, Extra Curricular Activities, Training and Placement Cell",4.0/5
"Hindustan College of Engineering, Kollam","Kollam, Kerala",Private,"Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Laboratories, Transport Facility",5.0/5
"HCST Mathura - Hindustan College of Science and Technology, Mathura","Jamaalpur, Uttar Pradesh",Private,"Boys Hostel, Girls Hostel, Medical/Hospital, Gym, Library, Sports, I.T Infrastructure, Cafeteria, Auditorium, Transport Facility, Wifi, Laboratories, Banks/ATMs, Convenience Store, Alumni Associations, Guest Room/Waiting Room",3.8/5
"Hindustan Electronics Academy, Bangalore","Bangalore, Karnataka",Private,"Boys Hostel, Girls Hostel, Library, Sports, I.T Infrastructure, Cafeteria, Laboratories, Transport Facility, Auditorium, Medical/Hospital, Guest Room/Waiting Room, Alumni Associations, Parking Facility, Classrooms, Training and Placement Cell, Workshops",N/A
"HIET Chennai - Hindustan Institute of Engineering Technology Aviation College, Kanchipuram","Salamangalam, Tamil Nadu",Private,"Library, Sports, I.T Infrastructure, Cafeteria, Transport Facility, Classrooms, Laboratories, Medical/Hospital, Boys Hostel, Girls Hostel, Training and Placement Cell, Extra Curricular Activities, Club, Smart Classrooms, Alumni Associations",3.0/5
